Conflict,Century,Year,Location,Allies,Opponent(s),Result for the United States and its Allies,Presidents of the United States,
Multinational intervention in Lebanon,20th Century,1982-1984,Lebanon ,"Lebanese Armed Forces, UNIFIL Multinational Force in Lebanon:United States, France, United Kingdom, Italy, Israel, Lebanese Front, Army of Free Lebanon, SLA","Lebanese National Movement. Jammoul, PLO, Amal Movement, Iran, Islamic Revolutionary Guard Corps, Hezbollah, Islamic Jihad Organization, Islamic Unification Movement, Syria, Arab Deterrent Force, Saudi Arabia, Sudan, United Arab Emirates, Libya, South Yemen",Syrian-allied victory: Multinational forces fail to prevent collapse of Lebanese Army into Syrian- or Israeli- supported militias. Multinational forces evacuated after the US embassy and US Marine barracks are bombed by the Islamic Jihad Organization. Multinational forces oversee withdrawal of Palestine Liberation Organization. Humanitarian crisis in Southern Lebanon. Civil war continues until 1990. President Hafez al-Assad continues his occupation of Lebanon until his son and later president Bashar al-Assad orders a withdrawal from the country,"Ronald Reagan(January 20, 1981 - January 20, 1989)",
United States invasion of Grenada,20th Century,1983,Grenada ,"United States, Barbados, Jamaica, Antigua and Barbuda, Dominica, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines","PRG of Grenada, Cuba, Military advisors:Soviet Union, Bulgaria, East Germany, Libya",US-allied victory: Military dictatorship of Hudson Austin deposed. Defeat of Cuban military presence. Restoration of constitutional government,Ronald Reagan,
Bombing of Libya,20th Century,1986,Libya ,United States,Libya,US victory: Failed Libyan Scud missile response. Muammar Gaddafi survives,Ronald Reagan,
Tanker War,20th Century,1987-1988,Persian Gulf ,United States,Iran,"US victory: U.S. Navy sinks several ships and damages Iranian military installations used to attack U.S. and U.S. allied civilian shipping. U.S. Navy vessel USS Vincennes shoots down civilian Iran Air Flight 655 killing all 290 passengers, among them 66 children. Iran-Iraq War ends in August 1988 following UN enforcement of the ceasefire",Ronald Reagan,
United States invasion of Panama,20th Century,1989-1990,Panama ,"United States, Panamanian Opposition",Panama,US-allied victory: Dictator Manuel Noriega deposed,George H. W. Bush,
Gulf War,20th Century,1990-1991,"Iraq, Kuwait, Saudi Arabia, and Israel ","United States, United Kingdom, Kuwait, Saudi Arabia, France, Canada, Egypt, Syria, Qatar, Bahrain, United Arab Emirates, Oman",Iraq,US-allied victory: Iraqi withdrawal from Kuwait; EmirJaber III restored. Sanctions against Iraq,George H. W. Bush,
Iraqi No-Fly Zone Enforcement Operations,20th Century,1991-2003,Iraq ,"United States, United Kingdom, France, Australia, Belgium, Netherlands, Saudi Arabia, Turkey, Italy",Iraq,US-allied victory: Periodic depletion of Iraqi air defenses,"George H. W. Bush (January 20, 1989 - January 20, 1993), Bill Clinton (January 20, 1993 - January 20, 2001), George W. Bush (January 20, 2001 - January 20, 2009)",
First U.S. Intervention in the Somali Civil War,20th Century,1992-1995,Somalia ,"United States, United Kingdom, Spain, Saudi Arabia, Malaysia, Pakistan, Italy, India, Greece, Germany, France, Canada, Botswana, Belgium, Australia, New Zealand",Somali National Alliance,"Somali victory: Failure to capture SNA leader Mohamed Farrah Aidid; specific Aidid lieutenants captured. Withdrawal of U.S. forces 5 months after losses in the Battle of Mogadishu. The UN mandate saved close to 100,000 lives, before and after U.S. withdrawal. Civil war is on going","George H. W. Bush (January 20, 1989 - January 20, 1993), Bill Clinton (January 20, 1993 - January 20, 2001)",
Bosnian WarandCroatian War,20th Century,1992-1995,Bosnia and Herzegovina and Croatia ,"Bosnia and Herzegovina, Herzeg-Bosnia, Croatia, United States, Belgium, Canada, Denmark, France, Germany, Italy, Luxembourg, Netherlands, Norway, Portugal, Spain, Turkey, United Kingdom","Republika Srpska, Serbian Krajina, Western Bosnia","Inconclusive/Other Result: Military stalemate. Dayton Accords. Internal partition of Bosnia and Herzegovina. Over 101,000 dead, 65,000 Bosniaks, 28,000 Serbs, 8,000 Croats. Deployment of NATO-led IFOR to uphold the peace agreement. High Representative for Bosnia and Herzegovina established to implement the peace agreement","George H. W. Bush (January 20, 1989 - January 20, 1993), Bill Clinton (January 20, 1993 - January 20, 2001)",
Intervention in Haiti,20th Century,1994-1995,Haiti ,"United States, Poland, Argentina",Haiti,US-allied victory: Reinstatement of Jean-Bertrand Aristide as president of Haiti,Bill Clinton,
