ID,Name
401,2001 Invasion:Islamic Emirate of Afghanistan
402,Talibani Army
403,Salafist extremists
404,055 Brigade
405,al-Qaeda in the Arabian PeninsulaAnsar al-ShariaIslamic State of Iraq and the Levant – Yemen ProvinceYemenRevolutionary Committee/Supreme Political CouncilHouthi movementYemen Armed ForcesYemeni Republican Guard
406,Post-invasion (2003–2011) - Ba'ath Loyalists
407,Supreme Command for Jihad and Liberation
408,Naqshbandi Army
409,DulaimTribes
410,Sunni insurgents (al-Qaeda in Iraq
411,Islamic State of Iraq
412,Ansar al-Sunnah
413,Islamic Army of Iraq)
414,Shia insurgents (Mahdi Army
415,Special Groups
416,Asa'ib Ahl al-Haq
417,Invasion phase (2003) - Iraq DulaimTribes
418,MEK
419,Ansar al-Islam
420,Islamic Emirate of Byara
421,Jihadists:Taliban
422,Tehrik-i-Taliban Pakistan
423,Haqqani network
424,Lashkar-e-Jhangvi
425,Foreign Mujahideen
426,Uzbek Islamic Movement
427,Turkistan Islamic Party
428,Tehreek-e-Nafaz-e-Shariat-e-Mohammad
429,iIslamic State of Iraq and the Levant – Khorasan Province
430,Jihadists:al-Shabaab
431,Mujahideen
432,Hizbul Islam
433,Islamic State in Somalia
434,Somali pirates
435,Libyan Arab Jamahiriya
436,Remnants of Libyan Arab Jamahiriya (After August 28) - Gaddafi Loyalists
437,Libyan Armed Forces
438,Libyan Navy
439,Libyan Air Force
440,Paramilitary forces
441,Pro-Gaddafi militias and tribes
442,Mercenaries (alleged)
443,Lord's Resistance Army
444,Jihadists: Al-Qaeda
445,Nusrat al-Islam
446,Islamic State of Iraq and Syria
447,Islamic State – West Africa Province
448,Islamic State in the Greater Sahara
449,Boko Haram(partially aligned with
450,ISIL since 2015)
451,Jihadists: Islamic State of Iraq and Syria
452,White Flags
453,al-Qaeda linked groups:al-Nusra Front
454,Khorasan group
455,Tahrir al-Sham
456,Jaysh al-Sunna
457,Jund al-Aqsa
458,Rouse the Believers
459,Guardians of Religion Organization
460,Turkistan Islamic Party in Syria
461,Ahrar al-Sham
462,Syria (limited encounters with US and Israel)
463,Supported by:Russia
464,Kata'ib Hezbollah
465,Jihadists: Islamic State in Libya
466,al-Qaeda in the Islamic Maghreb
467,Yemen
468,Supreme Political Council
469,Houthi movement
