ID,Side,Participant ID,War ID
431,Allies,208,99
432,Allies,209,99
433,Allies,210,99
434,Allies,211,99
435,Allies,128,99
436,Allies,49,99
437,Allies,212,99
438,Allies,122,99
439,Allies,213,100
440,Allies,50,100
441,Allies,94,100
442,Allies,125,100
443,Allies,52,100
444,Allies,214,100
445,Allies,215,100
446,Allies,169,100
447,Allies,51,100
448,Allies,167,100
449,Allies,170,100
450,Allies,216,100
451,Allies,161,100
452,Allies,217,100
453,Allies,218,100
454,Allies,202,100
455,Allies,121,100
456,Allies,219,100
457,Allies,220,101
458,Allies,213,101
459,Allies,15,101
460,Allies,187,101
461,Allies,164,101
462,Allies,166,101
463,Allies,221,101
464,Allies,0,102
465,Allies,222,102
466,Allies,223,102
467,Allies,224,102
468,Allies,225,102
469,Allies,0,103
470,Allies,226,103
471,Allies,123,103
472,Allies,0,104
473,Allies,197,104
474,Allies,199,104
475,Allies,227,104
476,Allies,51,104
477,Allies,70,104
478,Allies,87,104
479,Allies,101,104
480,Allies,123,104
481,Allies,172,104
482,Allies,90,104
483,Allies,187,104
484,Allies,188,104
485,Allies,103,104
486,Allies,128,104
487,Allies,49,104
488,Allies,0,105
489,Allies,228,105
490,Allies,229,105
491,Allies,230,105
492,Allies,231,105
493,Allies,232,105
494,Allies,233,105
495,Allies,234,105
496,Allies,227,105
497,Allies,51,105
498,Allies,87,105
499,Allies,70,105
500,Allies,101,105
501,Allies,123,105
502,Allies,172,105
503,Allies,90,105
504,Allies,103,105
505,Allies,89,105
506,Allies,49,105
507,Allies,135,105
508,Allies,188,105
509,Allies,187,105
510,Allies,161,105
511,Allies,166,105
512,Allies,164,105
513,Allies,165,105
514,Allies,235,105
515,Allies,236,105
516,Allies,237,105
517,Allies,238,105
518,Allies,0,106
519,Allies,49,106
520,Allies,123,106
521,Allies,239,106
522,Allies,240,106
523,Allies,0,107
524,Allies,49,107
525,Allies,50,107
526,Allies,51,107
527,Allies,87,107
528,Allies,101,107
529,Allies,171,107
530,Allies,103,107
531,Allies,102,107
532,Allies,165,107
533,Allies,218,107
534,Allies,241,107
535,Allies,242,107
536,Opponents,243,0
537,Opponents,244,0
538,Opponents,245,0
539,Opponents,4,0
540,Opponents,246,0
541,Opponents,247,0
542,Opponents,248,0
543,Opponents,249,0
544,Opponents,249,1
545,Opponents,250,2
546,Opponents,243,2
547,Opponents,251,2
548,Opponents,252,3
549,Opponents,55,4
550,Opponents,253,4
551,Opponents,254,5
552,Opponents,19,5
553,Opponents,255,6
554,Opponents,49,7
555,Opponents,255,7
556,Opponents,256,7
557,Opponents,257,8
558,Opponents,258,9
559,Opponents,259,10
560,Opponents,260,10
561,Opponents,261,11
562,Opponents,262,12
563,Opponents,263,12
564,Opponents,264,13
565,Opponents,265,13
566,Opponents,25,13
567,Opponents,266,13
568,Opponents,259,14
569,Opponents,267,15
570,Opponents,38,16
571,Opponents,268,17
572,Opponents,269,18
573,Opponents,270,18
574,Opponents,271,18
575,Opponents,272,19
576,Opponents,273,20
577,Opponents,274,21
578,Opponents,275,21
579,Opponents,276,21
580,Opponents,277,21
581,Opponents,278,21
582,Opponents,279,21
583,Opponents,280,22
584,Opponents,259,23
585,Opponents,281,24
586,Opponents,282,24
587,Opponents,283,24
588,Opponents,284,24
589,Opponents,285,24
590,Opponents,94,25
591,Opponents,286,26
592,Opponents,287,27
593,Opponents,49,28
594,Opponents,288,28
595,Opponents,289,29
596,Opponents,290,29
597,Opponents,291,30
598,Opponents,292,31
599,Opponents,293,31
600,Opponents,294,31
601,Opponents,37,32
602,Opponents,21,32
603,Opponents,20,32
604,Opponents,8,32
605,Opponents,295,32
606,Opponents,296,32
607,Opponents,297,32
608,Opponents,298,32
609,Opponents,271,33
610,Opponents,269,33
611,Opponents,299,33
612,Opponents,300,33
613,Opponents,301,34
614,Opponents,302,35
615,Opponents,303,35
616,Opponents,24,35
617,Opponents,292,36
618,Opponents,294,36
619,Opponents,293,36
620,Opponents,24,37
621,Opponents,302,37
622,Opponents,303,37
623,Opponents,304,38
624,Opponents,302,38
625,Opponents,303,38
626,Opponents,305,39
627,Opponents,302,40
628,Opponents,303,40
629,Opponents,267,40
630,Opponents,306,40
631,Opponents,307,41
632,Opponents,308,42
633,Opponents,302,43
634,Opponents,303,43
635,Opponents,267,43
636,Opponents,306,43
637,Opponents,309,44
638,Opponents,304,45
639,Opponents,301,45
640,Opponents,310,45
641,Opponents,303,45
642,Opponents,267,46
643,Opponents,269,46
644,Opponents,311,47
645,Opponents,312,47
646,Opponents,294,48
647,Opponents,293,48
648,Opponents,292,48
649,Opponents,302,49
650,Opponents,293,50
651,Opponents,269,51
652,Opponents,270,52
653,Opponents,162,53
654,Opponents,313,54
655,Opponents,24,55
656,Opponents,314,56
657,Opponents,315,57
658,Opponents,316,57
659,Opponents,317,57
660,Opponents,318,58
661,Opponents,56,58
662,Opponents,168,59
663,Opponents,60,59
664,Opponents,319,59
665,Opponents,124,59
666,Opponents,320,59
667,Opponents,321,60
668,Opponents,322,60
669,Opponents,323,60
670,Opponents,324,60
671,Opponents,325,60
672,Opponents,326,60
673,Opponents,327,60
674,Opponents,328,61
675,Opponents,329,61
676,Opponents,330,62
677,Opponents,331,62
678,Opponents,332,63
679,Opponents,38,64
680,Opponents,333,64
681,Opponents,334,65
682,Opponents,335,66
683,Opponents,336,66
684,Opponents,270,67
685,Opponents,292,67
686,Opponents,38,68
687,Opponents,333,68
688,Opponents,57,68
689,Opponents,337,69
690,Opponents,338,70
691,Opponents,56,71
692,Opponents,58,71
693,Opponents,339,71
694,Opponents,340,71
695,Opponents,341,72
696,Opponents,342,72
697,Opponents,343,72
698,Opponents,82,72
699,Opponents,84,72
700,Opponents,85,72
701,Opponents,270,73
702,Opponents,292,73
703,Opponents,344,74
704,Opponents,54,74
705,Opponents,57,74
706,Opponents,345,74
707,Opponents,346,74
708,Opponents,68,74
709,Opponents,340,74
710,Opponents,347,74
711,Opponents,348,74
712,Opponents,349,74
713,Opponents,350,74
714,Opponents,127,74
715,Opponents,351,74
716,Opponents,352,74
717,Opponents,353,75
718,Opponents,94,75
719,Opponents,354,75
720,Opponents,355,75
721,Opponents,99,75
722,Opponents,356,75
723,Opponents,357,75
724,Opponents,358,75
725,Opponents,359,75
726,Opponents,117,75
727,Opponents,360,76
728,Opponents,361,76
729,Opponents,362,76
730,Opponents,363,76
731,Opponents,94,76
732,Opponents,354,76
733,Opponents,353,76
734,Opponents,355,76
735,Opponents,364,76
736,Opponents,356,76
737,Opponents,357,76
738,Opponents,365,76
739,Opponents,359,76
740,Opponents,60,76
741,Opponents,362,77
742,Opponents,360,77
743,Opponents,366,77
744,Opponents,354,77
745,Opponents,367,77
746,Opponents,364,77
747,Opponents,365,77
748,Opponents,60,77
749,Opponents,214,78
750,Opponents,368,79
751,Opponents,369,79
752,Opponents,370,79
753,Opponents,60,80
754,Opponents,371,81
755,Opponents,353,82
756,Opponents,372,83
757,Opponents,363,83
758,Opponents,373,83
759,Opponents,374,83
760,Opponents,360,83
761,Opponents,375,83
762,Opponents,366,83
763,Opponents,354,83
764,Opponents,353,83
765,Opponents,364,83
766,Opponents,365,83
767,Opponents,60,83
768,Opponents,376,84
769,Opponents,377,84
770,Opponents,378,84
771,Opponents,379,84
772,Opponents,380,84
773,Opponents,381,84
774,Opponents,382,84
775,Opponents,383,84
776,Opponents,163,84
777,Opponents,384,84
778,Opponents,161,84
779,Opponents,189,84
780,Opponents,166,84
781,Opponents,239,84
782,Opponents,385,84
783,Opponents,386,85
784,Opponents,60,85
785,Opponents,387,85
786,Opponents,388,85
787,Opponents,367,85
788,Opponents,239,85
789,Opponents,239,86
790,Opponents,379,87
791,Opponents,389,88
792,Opponents,197,89
793,Opponents,197,90
794,Opponents,390,91
795,Opponents,391,92
796,Opponents,392,92
797,Opponents,393,92
798,Opponents,63,93
799,Opponents,394,94
800,Opponents,395,95
801,Opponents,396,95
802,Opponents,397,95
803,Opponents,398,95
804,Opponents,399,95
805,Opponents,400,95
806,Opponents,401,95
807,Opponents,402,95
808,Opponents,403,95
809,Opponents,404,95
810,Opponents,405,96
811,Opponents,406,97
812,Opponents,407,97
813,Opponents,408,97
814,Opponents,409,97
815,Opponents,410,97
816,Opponents,411,97
817,Opponents,412,97
818,Opponents,413,97
819,Opponents,414,97
820,Opponents,415,97
821,Opponents,416,97
822,Opponents,417,97
823,Opponents,418,97
824,Opponents,419,97
825,Opponents,420,97
826,Opponents,421,98
827,Opponents,422,98
828,Opponents,423,98
829,Opponents,397,98
830,Opponents,424,98
831,Opponents,425,98
832,Opponents,426,98
833,Opponents,427,98
834,Opponents,428,98
835,Opponents,429,98
836,Opponents,430,99
837,Opponents,431,99
838,Opponents,432,99
839,Opponents,433,99
840,Opponents,434,100
841,Opponents,435,101
842,Opponents,436,101
843,Opponents,437,101
844,Opponents,438,101
845,Opponents,439,101
846,Opponents,440,101
847,Opponents,441,101
848,Opponents,442,101
849,Opponents,443,102
850,Opponents,444,103
851,Opponents,445,103
852,Opponents,446,103
853,Opponents,447,103
854,Opponents,448,103
855,Opponents,449,103
856,Opponents,450,103
857,Opponents,451,104
858,Opponents,452,104
859,Opponents,446,105
860,Opponents,453,105
861,Opponents,454,105
862,Opponents,455,105
863,Opponents,456,105
864,Opponents,457,105
865,Opponents,458,105
866,Opponents,459,105
867,Opponents,460,105
868,Opponents,461,105
869,Opponents,462,105
870,Opponents,463,105
871,Opponents,379,105
872,Opponents,464,105
873,Opponents,465,106
874,Opponents,466,106
875,Opponents,467,107
876,Opponents,468,107
877,Opponents,469,107
878,Ally,470,108
878,Opponents,379,108
